,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
90,boerd,Blind - Jadu Heart Extended Mix,3xb07Xdx6Oovx0SfsNcUGd,7,0.408,0.626,329746,0.519,0.66,7,0.318,-10.477,0,0.0387,74.009,4,0.547
91,boerd,Blind - Compuphonic Remix,72Eg1eg4t8tSXt0AYcK5pC,15,0.0288,0.643,225685,0.632,0.926,5,0.133,-11.195,0,0.0335,118.002,4,0.255
92,boerd,Blind - Compuphonic Extended Mix,660MgXuotlMcCZSIY9Qwp9,9,0.042,0.65,333533,0.607,0.879,0,0.101,-11.656,0,0.0362,117.991,4,0.259
93,boerd,Blind,3aeqSXZuF7OurNuKV6bdwJ,33,0.179,0.441,314582,0.436,0.875,5,0.135,-12.956,0,0.0428,81.278,4,0.653
94,boerd,2000 & 21 (feat. Ellen Arkbro) - Original Mix,1ZGI6p9qc2ZN9VRSlZtPHc,3,0.814,0.261,407160,0.179,0.261,8,0.119,-17.7,0,0.0494,187.988,4,0.0388
95,boerd,19 Impasse Mousseau,4FdSP2NsYvMY2gGnGlYam2,9,0.11,0.633,242000,0.307,0.154,6,0.101,-15.475,1,0.0364,124.019,4,0.0696
96,antic,you have to die,3YXRxwE0PJeaO8M11B7WN3,0,0.23,0.708,246358,0.817,7.32e-05,11,0.423,-6.765,0,0.0582,94.953,4,0.823
97,antic,under the influence,2VpSm7QYR9Mz9hAkVZ4WJX,0,0.804,0.498,193190,0.82,1.97e-05,11,0.0887,-5.883,1,0.329,90.958,4,0.681
98,antic,thoughts and thots,4AyTwCHTyYTa5C4D2FCdkr,0,0.206,0.686,194225,0.83,0.0,0,0.129,-5.059,1,0.232,151.995,4,0.816
99,antic,the strip club,4RMLTjiVMMFJiXrnZCS4EN,0,0.381,0.742,242403,0.671,0.0,8,0.234,-6.596,1,0.231,104.017,4,0.715
100,antic,the last time,09OAnshrR7kUNrxJF9H3H4,0,0.115,0.642,258309,0.837,0.00183,1,0.311,-4.936,1,0.0553,92.021,4,0.522
101,antic,the corrupted soul,1BfLBsjoTF6ykmWi854sWm,0,0.0531,0.703,184566,0.711,0.000306,10,0.146,-5.036,0,0.0636,160.024,4,0.723
102,antic,moonwalking,03Fd3ieKTJKaLXME9R933W,0,0.756,0.801,204588,0.7,0.000176,0,0.226,-6.864,1,0.128,114.926,4,0.942
103,antic,mango kush,3H2AHQLQvR4aPeMg6aeUUD,0,0.06,0.625,185389,0.684,0.14,11,0.215,-7.929,0,0.0966,180.38,4,0.519
104,antic,let's sit down and talk,2hXQxw9E59yNJXPBNMxMzm,0,0.54,0.762,197449,0.725,0.0,0,0.188,-7.409,0,0.264,90.08,4,0.845
105,antic,la noche buena,0TFsiye2u8zEdVItyu3UmM,0,0.683,0.768,187869,0.907,0.0,7,0.193,-6.944,1,0.195,115.011,4,0.594
106,antic,hotboxing at 3AM,1JLXivKCSZQn2NFTt0cIv6,0,0.511,0.697,174043,0.88,0.00915,5,0.208,-5.26,1,0.0885,159.986,4,0.222
107,antic,fucked up in miami,5dUgQf95vtupCeIWAcnmnC,0,0.329,0.677,200581,0.786,0.123,1,0.139,-5.502,1,0.163,154.994,4,0.573
108,antic,flowing colors,0BqS4yOEqWEV6CaC5HIVRD,0,0.737,0.5,210014,0.767,0.0413,1,0.337,-7.206,1,0.143,184.078,4,0.281
109,antic,coffee shop,1Kdg5HaWqdJ2qKR27zhTmR,0,0.41,0.724,195751,0.651,0.873,11,0.248,-5.679,1,0.0656,129.983,4,0.338
110,antic,bold and brash,4v0AjiKehR4ZJNmg3ZVy0u,0,0.0784,0.824,174746,0.595,7.53e-06,1,0.123,-5.15,1,0.0359,124.925,4,0.333
111,Zoran Antic,Vracam ti se nano,6A0zHh8WwBtDzbzuoU2dYi,0,0.74,0.288,232530,0.573,0.00667,5,0.286,-9.765,0,0.244,176.592,4,0.771
112,Zoran Antic,Volim sve u mom selu,0MDkiuRFq9zHMhWgXB5UC7,0,0.744,0.341,262989,0.479,7.02e-05,5,0.104,-8.924,1,0.0915,168.392,4,0.879
113,Zoran Antic,Ukrascu je,5kjS2gZwalqR5lXksDgr41,0,0.753,0.271,227515,0.508,0.00158,6,0.158,-9.502,0,0.0895,176.994,4,0.857
114,Zoran Antic,Srce ranjeno,75Af8pu2iKpQuDgeVyZce7,0,0.642,0.235,243763,0.495,2.93e-05,0,0.198,-10.888,0,0.0587,180.409,4,0.814
115,Zoran Antic,Otvaraj deda bure,0bmXcTrmm9oJ9TzjhNeXwg,0,0.783,0.349,168112,0.499,0.0,0,0.145,-9.848,1,0.0446,190.176,4,0.948
116,Zoran Antic,Oda Krusevcu,6bvWQ7RlhFuP9vteszYSrk,0,0.783,0.356,252200,0.332,0.0,4,0.503,-11.544,1,0.0375,116.979,4,0.829
117,Zoran Antic,Nek nas ljubav leci,1n2ij2aXM2XF2MUH1gjvvI,0,0.85,0.38,259828,0.3,1.47e-05,6,0.244,-11.513,0,0.0375,109.251,4,0.44
118,Zoran Antic,Digni casu,4fOA45UDIMbhkliRrXfNCF,0,0.845,0.5,220070,0.367,0.0,9,0.131,-10.116,1,0.0341,98.149,4,0.794
119,Zika Antic,Žene i kafana,5AZI3cIhxwlrScK548qvbR,0,0.0207,0.662,194440,0.583,2.85e-06,0,0.317,-15.071,1,0.0393,97.658,4,0.937
120,Zika Antic,Želeo bih da sam ja,0rSlnyw7nEvx4NP6tNb7U4,0,0.129,0.674,227467,0.622,0.0,0,0.091,-13.613,1,0.0386,140.26,1,0.959
121,Zika Antic,Zato sto sam bio dobar,6IRSjOpacduc8MSNs21nG8,0,0.193,0.562,202536,0.794,4.2e-05,1,0.0582,-8.041,0,0.0682,129.85,4,0.603
122,Zika Antic,Zar ne mogu pobeći od tebe,4X8NxRzc7zjVcSp1UfgjPh,1,0.112,0.696,239160,0.748,0.0,9,0.131,-13.135,0,0.0416,116.245,4,0.96
123,Zika Antic,Zalim sto te nisam ozenio,0vihVJFSJRdDGrbIh6ysEt,0,0.0885,0.629,223527,0.728,0.0,0,0.0433,-7.817,1,0.0541,115.245,4,0.661
124,Zika Antic,Vreća za spavanje,68GBFNKgKNJvpbvRdrLgec,2,0.0174,0.779,208000,0.502,0.0,0,0.0569,-14.92,1,0.0324,135.292,4,0.959
125,Zika Antic,Vreca za spavanje,3mfhKj3cbVdaDkeMhTyYqa,0,0.165,0.716,218360,0.847,0.00105,1,0.0829,-8.092,1,0.0488,121.575,4,0.608
126,Zika Antic,Užice,5RnFlpHmuhNvOcjQUecYLV,0,0.71,0.582,274760,0.873,1.67e-06,3,0.0462,-6.395,1,0.221,94.864,4,0.547
127,Zika Antic,Ukrascu te,2tn168hoCRKZsLLvSf4hrl,0,0.366,0.789,246828,0.53,0.000526,8,0.0799,-12.797,1,0.108,127.686,4,0.681
128,Zika Antic,To samo mogu ja,1NbNGiCg7ZOJoX4qjC40OG,0,0.0583,0.635,212173,0.389,9.88e-05,11,0.147,-15.478,0,0.0331,80.119,4,0.378
129,Zika Antic,Sta cu noćas u kafani,1wrBhA11R2HaFShHcacJkp,0,0.0233,0.667,225840,0.561,0.0,5,0.0654,-15.331,0,0.0307,135.238,4,0.735
130,Zika Antic,Samo sam tebe imao,5kb6rnjaYReDgM2NpdiBqD,1,0.194,0.588,189973,0.753,0.0,2,0.0981,-12.979,1,0.0394,99.987,4,0.954
131,Zika Antic,Ritam zivota,4gPqmrY2mV33WuOJFqUCaW,0,0.158,0.766,188976,0.74,6.73e-05,0,0.127,-9.34,1,0.193,133.029,4,0.657
132,Zika Antic,Ribarska pesma,1UNOqGQPcgjgL5e85ubSxe,0,0.173,0.771,222667,0.562,2.24e-06,2,0.161,-12.972,1,0.0449,88.164,4,0.898
133,Zika Antic,Opasno te volim,13bzFkxEM3c1i2mDEGT2qS,0,0.229,0.816,184256,0.538,0.0,5,0.0542,-9.319,1,0.105,138.847,4,0.964
134,Zika Antic,Odvise si lepa,6OAtxTmTWif3c9lIwmFRau,0,0.337,0.697,178770,0.854,0.0,11,0.101,-7.847,0,0.192,133.161,4,0.664
135,Zika Antic,Nije kriva žena ta,7wxGoNDPQ4HH4fxKwoJ7gw,0,0.155,0.585,195840,0.717,3.01e-06,2,0.305,-13.2,0,0.0331,144.135,1,0.896
136,Zika Antic,Neću život svoj da menjam,7ksZkcJWvEHAP4nT3YkDTU,0,0.143,0.714,216493,0.663,1.98e-06,0,0.165,-13.188,1,0.0371,123.258,4,0.949
137,Zika Antic,Nema nema je,5qAMUzfHM71zWhaEwIbHoS,0,0.37,0.636,222400,0.389,0.0,7,0.106,-14.574,0,0.0386,164.272,4,0.853
138,Zika Antic,Ludujem za tobom,4XD5pKotyZhuDYiItaczNw,0,0.263,0.593,165611,0.796,7.97e-06,1,0.208,-7.555,1,0.0996,123.793,4,0.684
